bps_kode_provinsi,bps_nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,tahun,periode_bulan,angka_garis_kemiskinan,satuan
11,Aceh,1114,Kabupaten Aceh Tamiang,2010,September,298509,Rupiah/Kapita/Bulan
11,Aceh,1115,Kabupaten Nagan Raya,2010,September,320490,Rupiah/Kapita/Bulan
11,Aceh,1116,Kabupaten Aceh Jaya,2010,September,267057,Rupiah/Kapita/Bulan
11,Aceh,1117,Kabupaten Bener Meriah,2010,September,298798,Rupiah/Kapita/Bulan
11,Aceh,1118,Kabupaten Pidie Jaya,2010,September,337211,Rupiah/Kapita/Bulan
11,Aceh,1171,Kota Banda Aceh,2010,September,435195,Rupiah/Kapita/Bulan
11,Aceh,1172,Kota Sabang,2010,September,401180,Rupiah/Kapita/Bulan
11,Aceh,1173,Kota Langsa,2010,September,270201,Rupiah/Kapita/Bulan
11,Aceh,1174,Kota Lhokseumawe,2010,September,268303,Rupiah/Kapita/Bulan
11,Aceh,1175,Kota Subulussalam,2010,September,218906,Rupiah/Kapita/Bulan
11,Aceh,1101,Kabupaten Simeulue,2011,September,300467,Rupiah/Kapita/Bulan
11,Aceh,1102,Kabupaten Aceh Singkil,2011,September,304414,Rupiah/Kapita/Bulan
11,Aceh,1103,Kabupaten Aceh Selatan,2011,September,278854,Rupiah/Kapita/Bulan
11,Aceh,1104,Kabupaten Aceh Tenggara,2011,September,201449,Rupiah/Kapita/Bulan
11,Aceh,1105,Kabupaten Aceh Timur,2011,September,312927,Rupiah/Kapita/Bulan
11,Aceh,1106,Kabupaten Aceh Tengah,2011,September,360044,Rupiah/Kapita/Bulan
11,Aceh,1107,Kabupaten Aceh Barat,2011,September,402636,Rupiah/Kapita/Bulan
11,Aceh,1108,Kabupaten Aceh Besar,2011,September,351800,Rupiah/Kapita/Bulan
11,Aceh,1109,Kabupaten Pidie,2011,September,355618,Rupiah/Kapita/Bulan
11,Aceh,1110,Kabupaten Bireuen,2011,September,286617,Rupiah/Kapita/Bulan
11,Aceh,1111,Kabupaten Aceh Utara,2011,September,271150,Rupiah/Kapita/Bulan
11,Aceh,1112,Kabupaten Aceh Barat Daya,2011,September,274089,Rupiah/Kapita/Bulan
11,Aceh,1113,Kabupaten Gayo Lues,2011,September,275000,Rupiah/Kapita/Bulan
11,Aceh,1114,Kabupaten Aceh Tamiang,2011,September,322629,Rupiah/Kapita/Bulan
11,Aceh,1115,Kabupaten Nagan Raya,2011,September,346154,Rupiah/Kapita/Bulan
11,Aceh,1116,Kabupaten Aceh Jaya,2011,September,291333,Rupiah/Kapita/Bulan
11,Aceh,1117,Kabupaten Bener Meriah,2011,September,322853,Rupiah/Kapita/Bulan
11,Aceh,1118,Kabupaten Pidie Jaya,2011,September,365477,Rupiah/Kapita/Bulan
11,Aceh,1171,Kota Banda Aceh,2011,September,477669,Rupiah/Kapita/Bulan
11,Aceh,1172,Kota Sabang,2011,September,438111,Rupiah/Kapita/Bulan
11,Aceh,1173,Kota Langsa,2011,September,293333,Rupiah/Kapita/Bulan
11,Aceh,1174,Kota Lhokseumawe,2011,September,290838,Rupiah/Kapita/Bulan
11,Aceh,1175,Kota Subulussalam,2011,September,238423,Rupiah/Kapita/Bulan
11,Aceh,1101,Kabupaten Simeulue,2012,September,303138,Rupiah/Kapita/Bulan
11,Aceh,1102,Kabupaten Aceh Singkil,2012,September,308917,Rupiah/Kapita/Bulan
11,Aceh,1103,Kabupaten Aceh Selatan,2012,September,281158,Rupiah/Kapita/Bulan
11,Aceh,1104,Kabupaten Aceh Tenggara,2012,September,203116,Rupiah/Kapita/Bulan
11,Aceh,1105,Kabupaten Aceh Timur,2012,September,316131,Rupiah/Kapita/Bulan
11,Aceh,1106,Kabupaten Aceh Tengah,2012,September,365375,Rupiah/Kapita/Bulan
11,Aceh,1107,Kabupaten Aceh Barat,2012,September,407442,Rupiah/Kapita/Bulan
11,Aceh,1108,Kabupaten Aceh Besar,2012,September,352112,Rupiah/Kapita/Bulan
11,Aceh,1109,Kabupaten Pidie,2012,September,359367,Rupiah/Kapita/Bulan
11,Aceh,1110,Kabupaten Bireuen,2012,September,289058,Rupiah/Kapita/Bulan
11,Aceh,1111,Kabupaten Aceh Utara,2012,September,273334,Rupiah/Kapita/Bulan
11,Aceh,1112,Kabupaten Aceh Barat Daya,2012,September,276324,Rupiah/Kapita/Bulan
11,Aceh,1113,Kabupaten Gayo Lues,2012,September,277250,Rupiah/Kapita/Bulan
11,Aceh,1114,Kabupaten Aceh Tamiang,2012,September,328599,Rupiah/Kapita/Bulan
11,Aceh,1115,Kabupaten Nagan Raya,2012,September,349550,Rupiah/Kapita/Bulan
11,Aceh,1116,Kabupaten Aceh Jaya,2012,September,296921,Rupiah/Kapita/Bulan
11,Aceh,1117,Kabupaten Bener Meriah,2012,September,325576,Rupiah/Kapita/Bulan
11,Aceh,1118,Kabupaten Pidie Jaya,2012,September,369440,Rupiah/Kapita/Bulan
11,Aceh,1171,Kota Banda Aceh,2012,September,485543,Rupiah/Kapita/Bulan
11,Aceh,1172,Kota Sabang,2012,September,443848,Rupiah/Kapita/Bulan
11,Aceh,1173,Kota Langsa,2012,September,296195,Rupiah/Kapita/Bulan
11,Aceh,1174,Kota Lhokseumawe,2012,September,293348,Rupiah/Kapita/Bulan
11,Aceh,1175,Kota Subulussalam,2012,September,240118,Rupiah/Kapita/Bulan
11,Aceh,1101,Kabupaten Simeulue,2013,September,305600,Rupiah/Kapita/Bulan
11,Aceh,1102,Kabupaten Aceh Singkil,2013,September,316319,Rupiah/Kapita/Bulan
11,Aceh,1103,Kabupaten Aceh Selatan,2013,September,283446,Rupiah/Kapita/Bulan
11,Aceh,1104,Kabupaten Aceh Tenggara,2013,September,206797,Rupiah/Kapita/Bulan
11,Aceh,1105,Kabupaten Aceh Timur,2013,September,319392,Rupiah/Kapita/Bulan
11,Aceh,1106,Kabupaten Aceh Tengah,2013,September,370670,Rupiah/Kapita/Bulan
11,Aceh,1107,Kabupaten Aceh Barat,2013,September,413061,Rupiah/Kapita/Bulan
11,Aceh,1108,Kabupaten Aceh Besar,2013,September,352451,Rupiah/Kapita/Bulan
11,Aceh,1109,Kabupaten Pidie,2013,September,361707,Rupiah/Kapita/Bulan
11,Aceh,1110,Kabupaten Bireuen,2013,September,292308,Rupiah/Kapita/Bulan
11,Aceh,1111,Kabupaten Aceh Utara,2013,September,274799,Rupiah/Kapita/Bulan
11,Aceh,1112,Kabupaten Aceh Barat Daya,2013,September,283117,Rupiah/Kapita/Bulan
11,Aceh,1113,Kabupaten Gayo Lues,2013,September,279420,Rupiah/Kapita/Bulan
11,Aceh,1114,Kabupaten Aceh Tamiang,2013,September,331218,Rupiah/Kapita/Bulan
11,Aceh,1115,Kabupaten Nagan Raya,2013,September,353231,Rupiah/Kapita/Bulan
11,Aceh,1116,Kabupaten Aceh Jaya,2013,September,303209,Rupiah/Kapita/Bulan
11,Aceh,1117,Kabupaten Bener Meriah,2013,September,327652,Rupiah/Kapita/Bulan
11,Aceh,1118,Kabupaten Pidie Jaya,2013,September,373497,Rupiah/Kapita/Bulan
11,Aceh,1171,Kota Banda Aceh,2013,September,493558,Rupiah/Kapita/Bulan
11,Aceh,1172,Kota Sabang,2013,September,451218,Rupiah/Kapita/Bulan
11,Aceh,1173,Kota Langsa,2013,September,298749,Rupiah/Kapita/Bulan
11,Aceh,1174,Kota Lhokseumawe,2013,September,293788,Rupiah/Kapita/Bulan
11,Aceh,1175,Kota Subulussalam,2013,September,241189,Rupiah/Kapita/Bulan
11,Aceh,1101,Kabupaten Simeulue,2014,September,307596,Rupiah/Kapita/Bulan
11,Aceh,1102,Kabupaten Aceh Singkil,2014,September,322413,Rupiah/Kapita/Bulan
11,Aceh,1103,Kabupaten Aceh Selatan,2014,September,285301,Rupiah/Kapita/Bulan
11,Aceh,1104,Kabupaten Aceh Tenggara,2014,September,209811,Rupiah/Kapita/Bulan
11,Aceh,1105,Kabupaten Aceh Timur,2014,September,322385,Rupiah/Kapita/Bulan
11,Aceh,1106,Kabupaten Aceh Tengah,2014,September,374989,Rupiah/Kapita/Bulan
11,Aceh,1107,Kabupaten Aceh Barat,2014,September,417641,Rupiah/Kapita/Bulan
11,Aceh,1108,Kabupaten Aceh Besar,2014,September,352751,Rupiah/Kapita/Bulan
11,Aceh,1109,Kabupaten Pidie,2014,September,363791,Rupiah/Kapita/Bulan
11,Aceh,1110,Kabupaten Bireuen,2014,September,295294,Rupiah/Kapita/Bulan
11,Aceh,1111,Kabupaten Aceh Utara,2014,September,276137,Rupiah/Kapita/Bulan
11,Aceh,1112,Kabupaten Aceh Barat Daya,2014,September,288713,Rupiah/Kapita/Bulan
11,Aceh,1113,Kabupaten Gayo Lues,2014,September,281178,Rupiah/Kapita/Bulan
11,Aceh,1114,Kabupaten Aceh Tamiang,2014,September,336767,Rupiah/Kapita/Bulan
11,Aceh,1115,Kabupaten Nagan Raya,2014,September,356221,Rupiah/Kapita/Bulan
11,Aceh,1116,Kabupaten Aceh Jaya,2014,September,308891,Rupiah/Kapita/Bulan
11,Aceh,1117,Kabupaten Bener Meriah,2014,September,329550,Rupiah/Kapita/Bulan
11,Aceh,1118,Kabupaten Pidie Jaya,2014,September,376795,Rupiah/Kapita/Bulan
11,Aceh,1171,Kota Banda Aceh,2014,September,500768,Rupiah/Kapita/Bulan
11,Aceh,1172,Kota Sabang,2014,September,457242,Rupiah/Kapita/Bulan
11,Aceh,1173,Kota Langsa,2014,September,301089,Rupiah/Kapita/Bulan
11,Aceh,1174,Kota Lhokseumawe,2014,September,297189,Rupiah/Kapita/Bulan
11,Aceh,1175,Kota Subulussalam,2014,September,242054,Rupiah/Kapita/Bulan
11,Aceh,1101,Kabupaten Simeulue,2015,September,311351,Rupiah/Kapita/Bulan
11,Aceh,1102,Kabupaten Aceh Singkil,2015,September,351409,Rupiah/Kapita/Bulan
11,Aceh,1103,Kabupaten Aceh Selatan,2015,September,288619,Rupiah/Kapita/Bulan
11,Aceh,1104,Kabupaten Aceh Tenggara,2015,September,212025,Rupiah/Kapita/Bulan
11,Aceh,1105,Kabupaten Aceh Timur,2015,September,328048,Rupiah/Kapita/Bulan
11,Aceh,1106,Kabupaten Aceh Tengah,2015,September,380858,Rupiah/Kapita/Bulan
11,Aceh,1107,Kabupaten Aceh Barat,2015,September,424227,Rupiah/Kapita/Bulan
11,Aceh,1108,Kabupaten Aceh Besar,2015,September,366676,Rupiah/Kapita/Bulan
11,Aceh,1109,Kabupaten Pidie,2015,September,374031,Rupiah/Kapita/Bulan
11,Aceh,1110,Kabupaten Bireuen,2015,September,301027,Rupiah/Kapita/Bulan
11,Aceh,1111,Kabupaten Aceh Utara,2015,September,280683,Rupiah/Kapita/Bulan
11,Aceh,1112,Kabupaten Aceh Barat Daya,2015,September,292323,Rupiah/Kapita/Bulan
11,Aceh,1113,Kabupaten Gayo Lues,2015,September,286882,Rupiah/Kapita/Bulan
11,Aceh,1114,Kabupaten Aceh Tamiang,2015,September,343246,Rupiah/Kapita/Bulan
11,Aceh,1115,Kabupaten Nagan Raya,2015,September,361359,Rupiah/Kapita/Bulan
11,Aceh,1116,Kabupaten Aceh Jaya,2015,September,316304,Rupiah/Kapita/Bulan
11,Aceh,1117,Kabupaten Bener Meriah,2015,September,338719,Rupiah/Kapita/Bulan
11,Aceh,1118,Kabupaten Pidie Jaya,2015,September,380371,Rupiah/Kapita/Bulan
11,Aceh,1171,Kota Banda Aceh,2015,September,523444,Rupiah/Kapita/Bulan
11,Aceh,1172,Kota Sabang,2015,September,475111,Rupiah/Kapita/Bulan
11,Aceh,1173,Kota Langsa,2015,September,307260,Rupiah/Kapita/Bulan
11,Aceh,1174,Kota Lhokseumawe,2015,September,303155,Rupiah/Kapita/Bulan
11,Aceh,1175,Kota Subulussalam,2015,September,244628,Rupiah/Kapita/Bulan
11,Aceh,1101,Kabupaten Simeulue,2016,Maret,326563,Rupiah/Kapita/Bulan
11,Aceh,1102,Kabupaten Aceh Singkil,2016,Maret,368968,Rupiah/Kapita/Bulan
11,Aceh,1103,Kabupaten Aceh Selatan,2016,Maret,304466,Rupiah/Kapita/Bulan
11,Aceh,1104,Kabupaten Aceh Tenggara,2016,Maret,221799,Rupiah/Kapita/Bulan
11,Aceh,1105,Kabupaten Aceh Timur,2016,Maret,350186,Rupiah/Kapita/Bulan
11,Aceh,1106,Kabupaten Aceh Tengah,2016,Maret,397859,Rupiah/Kapita/Bulan
11,Aceh,1107,Kabupaten Aceh Barat,2016,Maret,441909,Rupiah/Kapita/Bulan
11,Aceh,1108,Kabupaten Aceh Besar,2016,Maret,384545,Rupiah/Kapita/Bulan
11,Aceh,1109,Kabupaten Pidie,2016,Maret,393370,Rupiah/Kapita/Bulan
11,Aceh,1110,Kabupaten Bireuen,2016,Maret,317562,Rupiah/Kapita/Bulan
11,Aceh,1111,Kabupaten Aceh Utara,2016,Maret,301733,Rupiah/Kapita/Bulan
11,Aceh,1112,Kabupaten Aceh Barat Daya,2016,Maret,306930,Rupiah/Kapita/Bulan
11,Aceh,1113,Kabupaten Gayo Lues,2016,Maret,301546,Rupiah/Kapita/Bulan
11,Aceh,1114,Kabupaten Aceh Tamiang,2016,Maret,368691,Rupiah/Kapita/Bulan
11,Aceh,1115,Kabupaten Nagan Raya,2016,Maret,374236,Rupiah/Kapita/Bulan
11,Aceh,1116,Kabupaten Aceh Jaya,2016,Maret,331940,Rupiah/Kapita/Bulan
11,Aceh,1117,Kabupaten Bener Meriah,2016,Maret,363796,Rupiah/Kapita/Bulan
11,Aceh,1118,Kabupaten Pidie Jaya,2016,Maret,399377,Rupiah/Kapita/Bulan
11,Aceh,1171,Kota Banda Aceh,2016,Maret,541732,Rupiah/Kapita/Bulan
11,Aceh,1172,Kota Sabang,2016,Maret,492787,Rupiah/Kapita/Bulan
11,Aceh,1173,Kota Langsa,2016,Maret,323246,Rupiah/Kapita/Bulan
11,Aceh,1174,Kota Lhokseumawe,2016,Maret,319988,Rupiah/Kapita/Bulan
11,Aceh,1175,Kota Subulussalam,2016,Maret,250408,Rupiah/Kapita/Bulan
11,Aceh,1101,Kabupaten Simeulue,2017,Maret,350622,Rupiah/Kapita/Bulan
11,Aceh,1102,Kabupaten Aceh Singkil,2017,Maret,406015,Rupiah/Kapita/Bulan
11,Aceh,1103,Kabupaten Aceh Selatan,2017,Maret,332177,Rupiah/Kapita/Bulan
11,Aceh,1104,Kabupaten Aceh Tenggara,2017,Maret,250854,Rupiah/Kapita/Bulan
11,Aceh,1105,Kabupaten Aceh Timur,2017,Maret,369911,Rupiah/Kapita/Bulan
11,Aceh,1106,Kabupaten Aceh Tengah,2017,Maret,427170,Rupiah/Kapita/Bulan
11,Aceh,1107,Kabupaten Aceh Barat,2017,Maret,446614,Rupiah/Kapita/Bulan
11,Aceh,1108,Kabupaten Aceh Besar,2017,Maret,398752,Rupiah/Kapita/Bulan
11,Aceh,1109,Kabupaten Pidie,2017,Maret,408150,Rupiah/Kapita/Bulan
11,Aceh,1110,Kabupaten Bireuen,2017,Maret,335314,Rupiah/Kapita/Bulan
11,Aceh,1111,Kabupaten Aceh Utara,2017,Maret,318729,Rupiah/Kapita/Bulan
11,Aceh,1112,Kabupaten Aceh Barat Daya,2017,Maret,329543,Rupiah/Kapita/Bulan
11,Aceh,1113,Kabupaten Gayo Lues,2017,Maret,323482,Rupiah/Kapita/Bulan
